Source Name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD000865-Sample-384	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	1	tissue	run 384	proteomic profiling by mass spectrometry	00644_F11_P004899_B0N_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_F11_P004899_B0N_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-385	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	2	tissue	run 385	proteomic profiling by mass spectrometry	00644_H12_P004899_B0X_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_H12_P004899_B0X_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-386	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	3	tissue	run 386	proteomic profiling by mass spectrometry	00644_G12_P004899_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_G12_P004899_B0W_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-387	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	4	tissue	run 387	proteomic profiling by mass spectrometry	00644_F12_P004899_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_F12_P004899_B0V_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-388	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	5	tissue	run 388	proteomic profiling by mass spectrometry	00644_E12_P004899_B0U_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_E12_P004899_B0U_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-389	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	6	tissue	run 389	proteomic profiling by mass spectrometry	00644_D12_P004899_B0T_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_D12_P004899_B0T_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-390	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	7	tissue	run 390	proteomic profiling by mass spectrometry	00644_C12_P004899_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_C12_P004899_B0S_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-391	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	8	tissue	run 391	proteomic profiling by mass spectrometry	00644_B12_P004899_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_B12_P004899_B0R_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-392	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	9	tissue	run 392	proteomic profiling by mass spectrometry	00644_A12_P004899_B0Q_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_A12_P004899_B0Q_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
PXD000865-Sample-393	Homo sapiens	lymph node	not applicable	not applicable	not available	normal	not available	not available	not available	10	tissue	run 393	proteomic profiling by mass spectrometry	00644_H11_P004899_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000865/00644_H11_P004899_B0P_A00_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.5 Da	lymph node
