Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[collision energy]	Comment[dissociation method]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	factor value[time]	factor value[treatment]
Sample 101	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 228	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_0h_R1_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_0h_R1_IMAC_1.raw	0h	no drugs (WiDr Control)
Sample 101	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 229	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_0h_R1_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_0h_R1_IMAC_2.raw	0h	no drugs (WiDr Control)
Sample 101	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 230	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_0h_R1_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_0h_R1_IMAC_3.raw	0h	no drugs (WiDr Control)
Sample 102	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 231	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_24h_R1_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_24h_R1_IMAC_1.raw	24h	no drugs (WiDr Control)
Sample 102	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 232	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_24h_R1_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_24h_R1_IMAC_2.raw	24h	no drugs (WiDr Control)
Sample 102	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 233	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_24h_R1_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_24h_R1_IMAC_3.raw	24h	no drugs (WiDr Control)
Sample 103	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 234	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_2h_R1_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_2h_R1_IMAC_1.raw	2h	no drugs (WiDr Control)
Sample 103	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 235	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_2h_R1_IMAC_2.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_2h_R1_IMAC_2.raw	2h	no drugs (WiDr Control)
Sample 103	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 236	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_2h_R1_IMAC_3.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_2h_R1_IMAC_3.raw	2h	no drugs (WiDr Control)
Sample 104	Homo sapiens	colon	not available	78Y	adult	female	colorectal cancer	epithelial	WiDr	1	run 237	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD007740/ctr_48h_R1_IMAC_1.raw	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;TA=Protein N-term;AC=UNIMOD:1;MT=Variable	"NT=phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	25% NCE	HCD	4.5 ppm	20 ppm	ctr_48h_R1_IMAC_1.raw	48h	no drugs (WiDr Control)
