source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	assay name	comment[file uri]	comment[fraction identifier]	comment[Label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Material Type	comment[data file]	factor value[organism part]
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1402	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_A01_P010747_S00_N01_R3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.05 Da	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_A01_P010747_S00_N01_R3.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1403	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_A01_P010747_S00_N01_R2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.05 Da	AC=MS:1002631;NT=EThcd/ETD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_A01_P010747_S00_N01_R2.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1404	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_A01_P010747_S00_N01_R1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_A01_P010747_S00_N01_R1.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1327	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_B01_P010747_S00_N02_R1.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_B01_P010747_S00_N02_R1.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1400	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_A01_P010747_S00_N02_R3.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.05 Da	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_A01_P010747_S00_N02_R3.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1401	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_A01_P010747_S00_N02_R2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.05 Da	AC=MS:1002631;NT=EThcd/ETD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_A01_P010747_S00_N02_R2.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1322	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_C01_P010747_S00_N03_R1.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_C01_P010747_S00_N03_R1.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1398	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_A01_P010747_S00_N03_R3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.05 Da	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_A01_P010747_S00_N03_R3.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1399	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_A01_P010747_S00_N03_R2.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	10 ppm	0.05 Da	AC=MS:1002631;NT=EThcd/ETD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_A01_P010747_S00_N03_R2.raw	tonsil
PXD010154-V287	homo sapiens	tonsil	not available	23	Male	normal	V287	not available	not available	not available	run 1317	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01092_D01_P010747_S00_N04_R1.raw	4	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	organism part	01092_D01_P010747_S00_N04_R1.raw	tonsil
