source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	assay name	comment[file uri]	comment[fraction identifier]	comment[Label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Material Type	comment[data file]	factor value[organism part]
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1620	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_A01_P010738_S00_N01_R1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_A01_P010738_S00_N01_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1615	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_B01_P010738_S00_N02_R1.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_B01_P010738_S00_N02_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1610	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_C01_P010738_S00_N03_R1.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_C01_P010738_S00_N03_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1605	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_D01_P010738_S00_N04_R1.raw	4	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_D01_P010738_S00_N04_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1600	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_E01_P010738_S00_N05_R1.raw	5	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_E01_P010738_S00_N05_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1596	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_F01_P010738_S00_N06_R1.raw	6	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_F01_P010738_S00_N06_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1592	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_G01_P010738_S00_N07_R1.raw	7	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_G01_P010738_S00_N07_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1588	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_H01_P010738_S00_N08_R1.raw	8	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_H01_P010738_S00_N08_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1619	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_A02_P010738_S00_N09_R1.raw	9	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_A02_P010738_S00_N09_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1614	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_B02_P010738_S00_N10_R1.raw	10	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_B02_P010738_S00_N10_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1609	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_C02_P010738_S00_N11_R1.raw	11	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_C02_P010738_S00_N11_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1604	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_D02_P010738_S00_N12_R1.raw	12	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_D02_P010738_S00_N12_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1599	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_E02_P010738_S00_N13_R1.raw	13	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_E02_P010738_S00_N13_R1.raw	liver
PXD010154-V289	homo sapiens	liver	not available	not available	not available	normal	V289	not available	not available	not available	run 1595	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01086_F02_P010738_S00_N14_R1.raw	14	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	organism part	01086_F02_P010738_S00_N14_R1.raw	liver
