source name	characteristics[organism]	characteristics[organism part]	characteristics[Sample type]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	factor value[disease]
PXD015289-sample-1	Homo sapiens	Urine	EV enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run1	1	170607_Bert_8-9_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_8-9_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-1	Homo sapiens	Urine	EV enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run2	2	170607_Bert_8-9_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_8-9_2.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-1	Homo sapiens	Urine	EV enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run3	3	170607_Bert_8-9_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_8-9_3.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-1	Homo sapiens	Urine	EV enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run4	4	170607_Bert_8-9_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_8-9_4.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-1	Homo sapiens	Urine	EV enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run5	5	170607_Bert_8-9_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_8-9_5.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-1	Homo sapiens	Urine	EV enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run6	6	170607_Bert_8-9_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_8-9_6.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-2	Homo sapiens	Urine	THP enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run7	1	170607_Bert_12-13_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_12-13_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-2	Homo sapiens	Urine	THP enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run8	2	170607_Bert_12-13_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_12-13_2.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-2	Homo sapiens	Urine	THP enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run9	3	170607_Bert_12-13_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_12-13_3.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
PXD015289-sample-2	Homo sapiens	Urine	THP enriched	not available	not available	not available	male	healthy donor	not available	1	proteomic profiling by mass spectrometry	run10	4	170607_Bert_12-13_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD015289/170607_Bert_12-13_4.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	not available	not available	27% NCE	healthy donor
